"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
2.2508,0.7789,0.84191,0.00017734,39.902,574.06,-59.621,2.1261,0.23982,6.6643e-11,1.4738e-10,2233.3,3753,386.31,1.0033e-07,171.818182,-35.454545,59,0.0023781
6341.9,0.006838,0.81579,0.026132,-436.92,-7687.1,-2.3139,1.6077e-15,0.0013767,0.018387,0.018387,3.5626e-10,2.3854e-08,0.44056,1.4328e-07,197.272727,-35.454545,60,0.0035714
0.2817,0.33144,0.84125,0.00060673,396.41,118.86,-544.91,0.00054694,0.00032032,1.1266e-10,4.4679e-10,420.48,430.62,214.45,2.2893e-07,222.727273,-35.454545,60,0.0035714
599.13,80.971,0.84079,0.00046931,434.76,279.52,-951.11,35297,510.93,6.0257e-10,6.1987e-10,1616.1,1747.3,415.28,1.8796e-07,248.181818,-35.454545,60,0.0047676
-0.23308,-0.16707,0.83998,0.00064166,420.73,-301.5,-547.18,7.2299e-05,0.00010602,1.1906e-10,2.9719e-10,384.42,381.9,115.19,2.042e-07,273.636364,-35.454545,60,0.0035757
-0.11643,-0.075504,0.83895,0.0009916,497.22,-194.7,-841.71,3.4741e-05,9.7082e-05,1.3593e-10,2.4076e-10,176.01,189.87,72.487,1.9857e-07,299.090909,-35.454545,59,0.00358
-0.8183,-0.041936,0.99809,0.0032076,366.74,-162.97,-104.51,1.107e-07,1.0963e-05,2.3384e-09,2.2408e-09,201.81,203.67,5.0114,1.1289e-06,70,-35.454545,76,0.0080241
0.49654,0.3509,0.83813,0.00037705,595.73,-90.396,-697.7,0.00079591,0.0020384,1.2427e-10,2.6164e-10,1217.7,1223.3,441.87,2.0296e-07,324.545455,-35.454545,60,0.0023895
156.22,1.5032,0.83798,0.00014067,844.63,1579.9,-835.49,4.1774e-05,0.44949,2.8744e-10,2.7834e-10,9.5107e-06,0.00091841,287.47,1.2194e-07,350,-35.454545,60,0.0035842
9.5902,0.3178,0.90549,0.0014467,288.87,-246.75,1039.3,2.1272e-06,0.00051728,1.368e-09,1.4039e-09,502.31,512.27,24.69,2.3482e-07,70,-30.909091,60,0.005531
0.57923,0.094961,0.90621,0.00083854,377.68,101,-829.28,2.1932e-06,5.9985e-05,2.4282e-10,2.5681e-10,424.53,414.78,33.447,2.0628e-07,95.454545,-30.909091,60,0.0044199
0.12829,0.052697,0.90495,0.0013281,393.24,128.95,-826.25,5.5774e-06,3.9605e-06,1.6785e-10,2.3344e-10,119.08,129.66,28.27,2.1031e-07,120.909091,-30.909091,59,0.0044248
3.3962,2.1955,0.90462,0.00043985,339.83,-217.09,-1522.5,0.088433,0.25587,3.3636e-09,3.1904e-09,1503.3,1585.4,10607,1.4831e-07,146.363636,-30.909091,59,0.0033186
16.329,16.462,0.90343,0.0012271,401.85,-150.83,-548.15,1835.4,1868.6,1.6226e-10,5.2493e-10,123.61,147.86,64.084,2.9307e-07,171.818182,-30.909091,60,0.0044346
48.952,44.825,0.90271,0.00086031,350.99,23.054,-525.99,1159.6,960.93,1.5096e-10,4.1867e-10,235.47,208.02,99.719,2.3529e-07,197.272727,-30.909091,60,0.0044395
-0.13469,-0.048868,0.90232,0.00072953,363.37,-169.55,-74.357,8.7743e-06,1.5403e-05,1.7826e-10,3.3432e-10,306.31,351.69,54.101,2.2576e-07,222.727273,-30.909091,60,0.0033296
-0.023737,-0.018966,0.90024,0.0020703,404.27,76.76,-620.47,3.7048e-07,3.3234e-07,2.0223e-10,5.024e-10,57.549,63.708,22.089,3.4956e-07,248.181818,-30.909091,59,0.0055617
-0.96877,-0.028991,0.90001,0.00067753,445.6,-130.37,632.74,2.0829e-07,7.5848e-05,6.8339e-10,6.5649e-10,1216.4,1232.6,17.581,2.3124e-07,273.636364,-30.909091,60,0.003337
0.92422,0.43297,0.9007,0.00039481,281.83,-159.92,1046.6,0.0042091,0.0058741,2.5439e-10,3.0983e-10,1176.8,1359.4,879.76,1.5613e-07,299.090909,-30.909091,59,0.0033333
75.23,222.95,0.90103,0.00059169,306.35,-229.98,88.625,282.01,1754,1.0289e-10,1.1695e-09,320.95,322.48,471.24,2.0388e-07,324.545455,-30.909091,60,0.0033333
1058.6,161,0.90118,0.00066937,369.9,-72.636,-584.92,33954,377.51,1.3085e-09,1.2443e-09,643.87,633.24,122,2.1586e-07,350,-30.909091,60,0.0033333
387.22,152.44,0.93459,0.00071247,328.29,-164.6,-431.73,5673,576.61,5.9547e-10,6.9032e-10,559.33,558.1,175.39,3.2633e-07,70,-26.363636,60,0.0042872
131.62,296.15,0.93424,0.0010021,328.08,-83.345,-330.73,241.43,699.18,2.0444e-10,9.5403e-10,152.83,151.42,268.42,2.6423e-07,95.454545,-26.363636,60,0.0042918
-0.083948,-0.090904,0.93087,0.0027519,405.65,-41.215,-649.4,9.4596e-06,6.48e-06,2.2484e-10,7.2495e-10,37.182,44.106,21.134,4.3508e-07,120.909091,-26.363636,60,0.0053763
70.337,48.192,0.9309,0.001175,321.31,-191.66,272.09,544.19,245.54,1.5494e-10,4.1221e-10,112.51,106.94,35.522,2.1952e-07,146.363636,-26.363636,59,0.0032258
58.536,112.68,0.93191,0.0010275,334.44,-114.73,852.31,168.37,553.14,1.4072e-10,4.6516e-10,145.35,129.55,379.64,2.1603e-07,171.818182,-26.363636,60,0.0042965
0.27037,0.20789,0.93305,0.00093039,341.49,-170.26,-191.99,5.455e-05,9.2788e-05,1.3228e-10,4.6977e-10,190.36,166.79,54.498,2.2913e-07,197.272727,-26.363636,59,0.0032189
141.49,165.94,1.0234,0.0035589,369.4,-87.667,-358.36,53.578,54.896,3.5958e-10,1.0581e-09,21.408,21.273,15.757,4.2997e-07,95.454545,-35.454545,81,0.0068493
0.67361,0.36144,0.93306,0.00091759,356.81,-173.03,-1.5112,0.00015344,0.00051695,1.5254e-10,4.0209e-10,197.53,198.09,42.434,2.2727e-07,222.727273,-26.363636,60,0.0032189
34.366,30.5,0.93291,0.001247,330.78,-31.026,-265.83,378.04,293.49,1.1458e-10,4.1532e-10,83.44,75.551,30.85,1.9211e-07,248.181818,-26.363636,59,0.0032189
127.59,112.52,0.93217,0.00091255,313.97,-71.565,165.79,596.6,384.99,1.8595e-10,5.4234e-10,176.35,174.31,80.443,2.2771e-07,273.636364,-26.363636,60,0.0032223
2.6196,1.2571,0.931,0.0013628,332.69,-120.86,-1034.1,0.00825,0.0093718,4.1364e-10,5.1667e-10,199.41,163.84,121.21,2.7676e-07,299.090909,-26.363636,59,0.0043011
-0.066206,-0.046239,0.92954,0.0012904,355.58,-77.442,10.97,5.3363e-06,4.6579e-06,1.4176e-10,4.8152e-10,96.975,87.469,25.571,2.3316e-07,324.545455,-26.363636,60,0.0043103
3.2303,1.4966,0.92968,0.0012415,378.87,-235.65,1501.2,0.0065941,0.028351,7.7263e-09,7.4361e-09,328.01,366.71,2050.9,2.0951e-07,350,-26.363636,59,0.0032293
91.233,109.73,0.98495,0.0020819,312.06,-150.46,-1.8038,98.529,122.74,1.9633e-10,8.9697e-10,41.12,41.982,23.155,2.9727e-07,70,-21.818182,59,0.004065
67.42,97.29,0.9861,0.0031074,346.64,-126.42,495.69,52.809,102.74,2.6089e-10,1.0965e-09,30.461,28.401,24.336,4.4825e-07,95.454545,-21.818182,60,0.0060914
22.736,16.32,0.98793,0.0021889,317.84,-149.18,48.115,145.61,74.463,1.5083e-10,5.2188e-10,35.325,36.916,10.703,2.4911e-07,120.909091,-21.818182,59,0.0050659
-0.25217,-0.29273,0.9885,0.0020418,322.29,-100.68,24.019,3.3643e-05,2.6708e-05,1.2717e-10,7.5816e-10,40.105,36.328,15.47,2.5701e-07,146.363636,-21.818182,59,0.0050659
98.706,349.92,0.9887,0.0020435,323.94,-152.15,-261.46,32.389,228.56,1.5128e-10,1.2913e-09,32.73,32.685,85.785,2.4589e-07,171.818182,-21.818182,59,0.0050659
24.274,26.371,0.98765,0.00238,332.01,-107.07,-77.491,143.59,168.36,1.2246e-10,6.2878e-10,26.329,22.806,10.283,2.2509e-07,197.272727,-21.818182,59,0.005071
89.601,130.49,0.98757,0.0020019,334.74,-87.021,-153.46,65.569,115.24,1.5204e-10,7.847e-10,35.566,34.336,24.363,2.3779e-07,222.727273,-21.818182,59,0.005071
6.1729,7.8757,0.9874,0.002234,328.33,-112.3,-96.699,1901.3,3094.4,1.2579e-10,7.7749e-10,32.332,27.306,13.285,2.4755e-07,248.181818,-21.818182,60,0.005071
