"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
183.3,230.68,2.6223,2.5511,334.91,-74.132,317.47,2.9193,2.7758,1.0397e-05,2.7187e-05,1.0012,0.98877,0.90632,0.010397,741.337701,5.767705,100.6119,0.84508
176.9,226.82,2.7146,2.4422,331.79,-75.196,319.05,2.7375,2.7517,9.107e-06,2.4789e-05,0.98436,0.97185,0.89493,0.0093962,737.206767,6.128971,100.6725,0.78805
103.55,189.95,1.9405,2.1346,330.1,-75.105,261.2,0.94516,2.3142,3.2502e-06,1.7477e-05,0.63452,0.62687,0.65262,0.004937,574.737622,5.364778,101.735375,1.1431
105.08,207.4,1.6341,2.3768,332.25,-75.213,265.99,0.79307,2.1608,3.5886e-06,2.006e-05,0.55962,0.55344,0.64168,0.0054395,579.065936,3.608243,102.450825,1.4909
92.625,188.87,1.2943,2.2171,335.83,-73.823,240.9,0.88084,2.7094,3.5536e-06,2.2639e-05,0.68159,0.6728,0.74527,0.0057935,537.982164,3.682312,103.8986,1.7816
113.07,304.28,0.98703,3.8184,341.59,-75.325,324.31,0.55472,2.3364,7.8697e-06,4.6951e-05,0.44245,0.43931,0.90897,0.011334,731.034628,0.007489,104.6205,3.4581
205.74,258.8,2.2082,3.051,335.48,-73.132,341.9,3.7799,3.3044,1.8828e-05,4.3386e-05,1.1495,1.1344,1.1606,0.016897,797.90289,4.743276,104.781625,1.1362
101.22,164.32,1.87,1.6478,336.38,-72.425,225.82,1.4414,2.9129,2.6354e-06,1.3396e-05,0.86815,0.85615,0.736,0.0039815,541.109218,7.721896,104.93275,0.95252
109.54,251.23,1.2083,3.2035,338.5,-73.963,297.29,0.73141,2.458,6.6913e-06,3.8802e-05,0.55578,0.55099,0.83656,0.0099235,670.148842,1.784462,105.06575,2.6225
88.67,186.81,1.1022,2.1122,340.01,-71.456,233.68,0.8428,2.796,3.1687e-06,2.1405e-05,0.68457,0.67604,0.7586,0.0052994,531.588699,3.768607,107.441175,1.9603
111.93,229.5,1.303,3.0202,343.95,-71.809,290.14,0.96706,2.6944,7.2746e-06,3.8779e-05,0.67274,0.66694,0.86548,0.010578,711.804838,3.25453,107.4449,2.2802
112.71,235,1.3114,3.0768,342.8,-72.41,293,0.91388,2.602,7.2117e-06,3.8551e-05,0.63954,0.63402,0.84914,0.010448,711.804838,3.25453,107.524225,2.3021
111.34,233.65,1.2763,3.0224,344.89,-72.564,291.08,0.90842,2.6318,6.96e-06,3.7783e-05,0.64385,0.63844,0.85433,0.010163,711.804838,3.25453,107.74675,2.3305
123.42,181.81,2.4912,1.7996,340.21,-69.424,264.18,1.744,2.7193,3.5696e-06,1.4459e-05,0.88677,0.87698,0.75287,0.0047739,656.470219,8.931889,107.79405,0.77892
111.86,235.89,1.3008,3.0731,342.67,-72.409,296.88,0.90613,2.6416,7.2046e-06,3.8914e-05,0.64359,0.63803,0.86849,0.010495,711.374389,3.275662,107.800175,2.3561
110.69,236.45,1.2684,3.0655,342.14,-71.796,296.15,0.90292,2.7031,7.2167e-06,3.9677e-05,0.65195,0.64634,0.88943,0.010594,711.374389,3.275662,108.04335,2.4498
113.1,237.97,1.3036,3.0704,341.94,-73.084,295.84,0.91995,2.6515,7.2721e-06,3.8896e-05,0.64621,0.64059,0.87414,0.010517,711.374389,3.275662,108.055425,2.3125
111.86,234.83,1.3014,3.0714,341.84,-72.579,296.26,0.9192,2.6609,7.276e-06,3.9217e-05,0.65106,0.64534,0.87214,0.010601,711.374389,3.275662,108.05695,2.3043
114.26,234.6,1.3123,3.0569,342.38,-71.191,295.11,0.95916,2.6448,7.3828e-06,3.8568e-05,0.65808,0.65241,0.86423,0.010592,711.374389,3.275662,108.122275,2.3197
112.36,236.41,1.3165,3.0777,340.7,-71.37,296.27,0.9718,2.815,7.7296e-06,4.1576e-05,0.68696,0.68096,0.92585,0.011232,711.804838,3.25453,108.236675,2.3338
111.21,233.64,1.2668,3.0252,342.91,-72.327,291.81,0.90674,2.6349,6.9665e-06,3.7884e-05,0.64436,0.63879,0.85644,0.010187,711.374381,3.275742,108.316475,2.3529
112.37,233.4,1.2894,3.0337,342.83,-70.841,291.89,0.93484,2.6507,7.156e-06,3.8287e-05,0.65406,0.64848,0.86082,0.010386,711.374389,3.275662,108.369375,2.283
113.33,237.23,1.3141,3.0719,341.62,-72.569,296.21,0.91957,2.6269,7.2506e-06,3.8583e-05,0.64308,0.63748,0.86502,0.01047,711.374389,3.275662,108.78315,2.2898
